,code,country,sri_score,fragile_state_score,year,population,sdg_index_score,1no_poverty,2no_hunger,3health_wellbeing,4quality_education,5gender_equality,6cleanwater_sanitation,7affordable_clean_energy,8work_economy_growth,9industry_innov_infrast,10reduced_inequalities,11cities_communities,12consumption_production,13climate,14life_below_water,15life_on_land,16peace_justice_stroninstitutions,17partnership_for_goals,tourism_score,global_score,global_rank,arrivals,revenue_dollars,gdp_dollars,percent_of_gdp,primary_energy_consumption_per_capita_kwh/person,annual_co2_emissions_per_capita)
10,GRC,Greece,66.625,55.14705882352941,2019.0,10603295.666666666,77.43333333333334,99.39999999999999,66.16666666666667,89.96666666666665,96.06666666666666,63.73333333333333,87.66666666666667,76.60000000000001,67.93333333333334,77.03333333333333,84.89999999999999,83.26666666666667,66.9,79.03333333333335,63.900000000000006,81.36666666666667,74.06666666666666,58.5,79.81904761904762,66.40179738562092,40,22791181.818181816,15599008842.105263,246132631578.94736,6.581500217213374,32479.072578947365,8.13927814736842
11,HRV,Croatia,65.25,60.10504201680673,2019.0,4145203.0,80.8,100.0,74.26666666666667,86.96666666666665,96.46666666666665,65.60000000000001,86.40000000000002,83.53333333333335,81.03333333333335,72.60000000000001,93.36666666666667,81.10000000000001,72.66666666666667,83.73333333333333,84.33333333333333,88.2,72.39999999999999,50.96666666666667,83.19047619047619,68.71834733893557,35,49841294.11764706,8931797157.894737,56243684210.52631,15.982883326368198,23286.432578947366,4.697175215789474
12,HUN,Hungary,65.0,59.180672268907564,2019.0,9774278.333333334,79.2,98.8,71.26666666666667,83.43333333333334,91.53333333333335,64.39999999999999,86.59999999999998,73.73333333333333,82.16666666666667,75.83333333333333,93.3,88.2,74.10000000000001,77.89999999999999,,86.43333333333334,68.83333333333333,50.76666666666667,82.08095238095238,67.79355742296919,36,44073647.058823526,6532177421.052631,136230000000.0,4.80136533349548,27573.116210526314,5.218141063157894
13,ITA,Italy,70.0,64.36974789915966,2019.0,59798249.666666664,78.13333333333334,97.43333333333334,69.56666666666668,94.06666666666666,94.53333333333335,73.36666666666666,80.8,76.93333333333334,78.16666666666667,86.16666666666667,77.9,73.7,70.76666666666667,79.89999999999999,61.5,79.9,72.83333333333333,60.666666666666664,80.97619047619048,70.834360410831,32,74091505.97426471,42415801500.0,2028433333333.3333,2.0915868143981187,33111.542166666666,6.975173638888889
14,JPN,Japan,74.875,74.36974789915966,2019.0,126018167.33333333,78.76666666666667,99.3,74.66666666666667,94.06666666666666,94.03333333333335,60.699999999999996,84.9,72.5,88.26666666666667,94.36666666666667,80.5,84.7,60.9,73.2,54.833333333333336,63.5,87.2,71.5,83.94285714285714,76.00380485527545,19,13547517.635569854,20943616666.666668,5099418888888.889,0.4160760210148686,44325.16172222222,9.632698472222224
15,MEX,Mexico,57.875,42.60504201680672,2019.0,124546061.33333333,69.1,86.89999999999999,61.1,78.3,96.16666666666667,78.89999999999999,70.76666666666667,68.56666666666666,68.86666666666666,53.5,37.6,82.10000000000001,79.66666666666667,86.23333333333333,63.23333333333333,55.6,47.833333333333336,59.5,67.8809523809524,56.5266806722689,87,87918176.47058824,15630877777.777779,1122787777777.7778,1.388740200392117,18583.608111111113,4.103036161111111
16,MYS,Malaysia,63.25,53.38235294117647,2019.0,32600727.0,69.03333333333335,98.83333333333333,48.96666666666667,79.56666666666666,89.5,56.76666666666667,76.3,68.43333333333334,78.56666666666666,76.96666666666667,47.4,84.56666666666666,72.16666666666667,77.10000000000001,66.60000000000001,35.36666666666667,60.4,56.5,73.22857142857143,61.88856209150327,50,22265882.352941178,17186166666.666668,259983888888.8889,6.820321940003026,34202.77733333333,7.240672483333333
17,NLD,Netherlands,79.125,81.91176470588236,2019.0,17324787.333333332,78.93333333333334,99.23333333333333,67.7,95.76666666666667,98.93333333333334,81.83333333333333,87.23333333333333,71.66666666666667,86.3,93.10000000000001,90.3,94.86666666666667,47.73333333333333,41.86666666666667,54.23333333333333,78.23333333333333,87.33333333333333,65.93333333333334,81.98095238095239,79.99003267973856,13,12760823.529411765,19644529125.0,833569473684.2106,2.3422551495668946,63581.91652631579,9.887851931578947
18,POL,Poland,66.75,64.8109243697479,2019.0,38506959.666666664,80.56666666666666,98.89999999999999,66.26666666666667,85.10000000000001,97.73333333333333,71.89999999999999,84.2,71.0,85.33333333333333,77.89999999999999,93.40000000000002,85.56666666666666,73.89999999999999,75.73333333333333,71.16666666666667,92.63333333333333,78.06666666666666,60.666666666666664,82.0047619047619,70.70919701213819,33,70040062.5,10907795388.88889,462903333333.3333,2.3604042518270196,29302.003333333338,8.411758861111112
19,RUS,Russia,59.25,37.920168067226896,2019.0,145688749.33333334,73.36666666666667,98.76666666666667,59.166666666666664,78.7,96.73333333333333,67.03333333333333,75.0,64.73333333333333,79.33333333333333,73.2,77.5,84.33333333333333,80.73333333333333,70.83333333333333,53.93333333333334,66.06666666666666,50.5,70.60000000000001,75.51904761904763,56.84561157796452,84,24193941.17647059,13382444444.444445,1452630555555.5557,0.9584332440952004,54990.027111111114,11.314215555555556
20,SAU,Saudi Arabia,49.99999999999999,43.84453781512605,2019.0,35422079.333333336,64.60000000000001,100.0,57.166666666666664,76.5,78.73333333333333,42.86666666666667,59.1,68.63333333333333,76.33333333333333,68.36666666666666,,61.300000000000004,64.43333333333334,34.6,64.66666666666667,49.56666666666666,70.36666666666666,60.800000000000004,64.28888888888889,52.81484593837535,107,16734937.5,9964933333.333334,582322777777.7778,1.5592630626403412,82505.54505555556,17.771574722222223
21,SGP,Singapore,74.125,78.94957983193278,2019.0,5840864.0,70.06666666666666,,76.13333333333333,94.60000000000001,99.06666666666666,71.39999999999999,74.23333333333333,71.93333333333334,75.10000000000001,91.03333333333335,,96.09999999999998,44.166666666666664,56.56666666666666,46.13333333333333,27.133333333333336,84.46666666666667,42.9,80.8888888888889,74.38041549953316,22,12735558.823529411,13561375000.0,253718333333.33334,5.457516816176316,145047.57083333333,8.840449522222222
22,SVK,Slovakia,67.99999999999999,68.88655462184875,2019.0,5450347.666666667,79.13333333333333,99.09999999999998,71.7,87.96666666666665,82.03333333333333,70.60000000000001,81.8,76.13333333333334,79.60000000000001,70.7,100.0,86.23333333333333,66.26666666666667,71.06666666666666,,89.2,78.0,55.93333333333334,81.67142857142858,72.00662931839402,28,14526000.0,2236474368.4210525,90132631578.94737,2.459418561264112,36747.03647368421,6.945355936842105
23,THA,Thailand,60.25,42.07983193277311,2019.0,71214992.66666667,73.60000000000001,98.43333333333334,59.23333333333333,79.23333333333333,96.96666666666665,68.73333333333333,75.89999999999999,72.23333333333333,76.36666666666666,60.23333333333333,71.39999999999999,85.33333333333333,79.53333333333333,81.39999999999999,63.699999999999996,58.36666666666667,63.79999999999999,60.199999999999996,75.17142857142858,58.64327731092437,70,22833750.0,32009166666.666668,351758888888.8889,8.706141000751208,17874.019333333334,3.6132294277777777
24,TUR,Turkey,54.62499999999999,34.01260504201681,2019.0,83143430.0,70.33333333333333,97.5,65.56666666666666,84.0,85.96666666666665,47.1,73.13333333333333,71.63333333333333,67.36666666666667,67.39999999999999,46.76666666666667,73.23333333333333,82.16666666666667,87.2,56.199999999999996,53.9,61.666666666666664,74.56666666666666,71.08571428571429,52.990312791783374,105,33021529.411764707,29166062500.0,729681666666.6666,3.7493624517396333,18179.65538888889,4.501708083333333
25,UKR,Ukraine,58.74999999999999,37.121848739495796,2019.0,44328200.0,74.23333333333333,,65.76666666666667,75.33333333333333,91.90000000000002,66.3,76.03333333333333,70.56666666666666,75.93333333333334,40.13333333333333,99.39999999999999,79.83333333333333,84.53333333333333,84.89999999999999,61.06666666666666,79.6,62.03333333333333,74.16666666666667,75.15714285714286,56.70172735760971,86,19149529.411764707,3518111111.111111,129652222222.22223,2.7167759773123077,28847.772666666668,6.088168716666667
26,USA,USA,73.87499999999999,64.11764705882354,2019.0,333222771.0,74.96666666666667,98.76666666666667,68.7,88.96666666666665,94.13333333333333,75.06666666666666,83.6,73.43333333333334,81.36666666666666,96.56666666666666,53.73333333333333,90.53333333333335,54.333333333333336,51.73333333333333,65.03333333333335,60.43333333333334,69.43333333333334,68.43333333333334,76.6190476190476,70.98643790849673,31,151696074.44852942,166944315789.4737,16748166842105.264,1.0029257587763152,82697.68852631579,17.689408868421054
27,ZAF,South Africa,56.875,41.15546218487395,2019.0,57715137.666666664,63.166666666666664,51.166666666666664,56.13333333333333,53.63333333333333,76.16666666666667,77.23333333333333,62.1,59.70000000000001,67.39999999999999,68.06666666666666,0.0,79.76666666666667,84.2,82.13333333333333,69.73333333333333,58.03333333333333,56.666666666666664,71.46666666666665,58.67142857142857,53.73237628384687,102,11433152.946920956,8667281578.947369,353753684210.5263,2.5090222630999897,26451.693684210524,8.487700305263157
