,code,sri_score,country,fragile_state_score,year,population,sdg_index_score,1no_poverty,2no_hunger,3health_wellbeing,4quality_education,5gender_equality,6cleanwater_sanitation,7affordable_clean_energy,8work_economy_growth,9industry_innov_infrast,10reduced_inequalities,11cities_communities,12consumption_production,13climate,14life_below_water,15life_on_land,16peace_justice_stroninstitutions,17partnership_for_goals,tourism_score_x,global_score,global_rank,tourism_score_y,global_score_2,global_rank_2
132,KEN,53.625,Kenya,26.72268907563025,2020.0,51460211.0,60.2,44.3,57.1,50.9,70.6,69.9,46.7,41.5,75.8,33.7,49.5,54.8,94.7,98.4,69.8,58.5,55.1,52.1,57.800000000000004,46.84922969187676,133,48.8156462585034,43.05444511137788,136
133,WSM,,Samoa,46.386554621848745,,,,,,,,,,,,,,,,,,,,,,46.386554621848745,134,,46.386554621848745,125
134,MWI,51.5,Malawi,31.092436974789916,2020.0,19120882.0,55.4,0.3,60.4,50.1,50.8,69.4,52.5,42.0,66.4,18.8,58.5,59.8,97.9,99.6,,60.7,53.5,46.3,56.45714285714286,45.99747899159664,135,50.33605442176871,44.30949713218621,134
135,RWA,48.0,Rwanda,30.504201680672267,2020.0,12987331.0,58.9,19.5,62.4,59.3,54.7,77.5,57.8,33.7,67.7,28.3,34.9,57.3,94.7,99.3,,66.8,69.3,60.0,54.357142857142854,45.80140056022409,136,45.55714285714286,41.353781512605046,145
136,SWZ,45.875,Swaziland,33.27731092436974,2020.0,1174222.0,57.3,32.0,49.9,36.8,74.2,69.7,50.5,70.5,44.2,37.9,11.8,84.4,85.4,97.5,,50.3,57.6,63.2,54.728571428571435,45.48410364145658,137,48.076190476190476,42.40950046685341,138
137,PNG,47.74999999999999,Papua New Guinea,34.03361344537815,2020.0,9648818.0,53.6,29.6,34.0,43.2,53.9,48.2,42.5,37.0,76.9,9.1,43.7,71.8,96.5,95.2,72.0,63.8,54.4,39.2,53.84285714285715,45.12787114845938,138,52.50748299319728,44.76369881285847,132
138,SLE,47.74999999999999,Sierra Leone,31.59663865546218,2020.0,8140209.0,54.9,33.1,56.3,36.3,54.7,46.6,49.1,16.5,65.8,13.8,69.7,40.8,97.8,99.4,78.5,63.7,53.4,57.5,48.90000000000001,44.74887955182072,139,45.279591836734696,41.54207683073229,143
139,ZMB,49.375,Zambia,30.588235294117652,2020.0,18654918.0,53.6,9.4,59.1,45.9,66.7,66.2,52.9,44.7,65.3,19.8,8.3,56.9,94.9,98.0,,68.9,44.4,55.2,48.41428571428571,44.52107843137255,140,44.93469387755103,41.63264305722289,142
140,CIV,46.0,Ivory Coast,25.546218487394963,2020.0,26477574.0,61.9,69.1,66.6,43.4,52.5,48.8,55.2,47.2,74.5,31.7,64.1,54.9,95.7,97.8,79.3,69.6,54.1,46.8,59.08571428571428,44.48207282913165,141,50.21020408163265,40.58547418967587,147
141,VEN,47.875,Venezuela,23.8655462184874,2020.0,28628832.0,61.1,16.5,53.4,60.3,81.2,67.6,76.3,75.3,73.8,34.1,28.6,53.3,82.6,93.2,81.3,80.0,30.6,50.1,59.8,44.28018207282913,142,58.70068027210885,43.48040883019875,135
