country,units,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MOROCCO,thousands,5 732,6 077,6 777,7 701,8 209,8 661,9 752,9 784,9 830,10 349,10 507,10 542,10 677,11 540,12 489,13 109,2 802,3 722,10 968
MOZAMBIQUE,thousands,711,954,1 095,1 259,1 439,1 711,1 836,2 013,2 206,1 970,1 751,1 634,1 715,1 514,2 870,2 033,959,549,879
NAMIBIA,thousands,986,856,961,1 048,1 079,1 100,1 114,1 163,1 245,1 327,1 429,1 488,1 551,1 581,1 639,1 651,187,261,528
NEW ZEALAND,thousands,2 334,2 366,2 409,2 455,2 483,2 473,2 530,2 617,2 574,2 710,2 854,3 129,3 494,3 723,3 858,3 888,996,207,1 434
NICARAGUA,thousands,735,804,891,978,1 011,1 010,1 071,1 122,1 233,1 273,1 390,1 456,1 596,1 958,1 412,1 455,474,312,933
NIGERIA,thousands,2 646,2 778,3 056,5 239,5 820,6 053,6 113,3 765,4 673,4 038,4 803,6 017,5 265,5 182,5 254,5 361,1 209,1 246,1 271
NORTHERN MARIANA ISLANDS,thousands,536,507,436,389,397,354,379,341,401,439,460,479,531,660,518,487,89,13,97
OMAN,thousands,1 407,1 101,1 385,1 360,1 540,1 584,1 500,1 393,1 714,1 923,2 225,2 634,3 207,3 178,3 242,3 506,869,652,2 920
PANAMA,thousands,1 004,1 070,1 215,1 428,1 575,1 562,1 726,2 004,2 086,2 202,2 305,2 553,2 379,2 517,2 487,2 494,647,804,1 946
PARAGUAY,thousands,2 589,2 648,2 830,3 005,3 118,3 183,3 171,3 365,3 655,3 538,3 455,4 102,4 318,4 744,4 183,4 368,1 077,571,1 548
PERU,thousands,1 650,1 938,2 227,2 451,2 581,2 681,2 948,3 299,3 642,4 010,4 062,4 381,4 718,4 992,5 384,5 275,1 119,444,2 279
POLAND,thousands,61 918,64 606,65 115,66 208,59 935,53 840,58 340,60 745,67 390,72 310,73 750,77 743,80 476,83 804,85 946,88 515,51 076,51 026,71 814
PUERTO RICO,thousands,4 889,5 073,5 022,5 062,5 213,4 415,4 379,4 214,4 197,4 210,4 456,5 051,5 003,4 927,4 260,4 931,3 882,2 755,3 638
ROMANIA,thousands,6 600,5 839,6 037,7 722,8 862,7 575,7 498,7 611,7 937,8 019,8 442,9 331,10 223,10 926,11 720,12 815,5 023,6 789,12 697
SAINT KITTS AND NEVIS,thousands,383,365,350,379,533,548,624,723,666,695,818,1 036,1 055,1 194,1 278,1 107,301,123,589
SAINT LUCIA,thousands,791,720,670,905,925,982,984,950,889,921,987,1 031,948,1 064,1 165,1 220,433,297,714
SAINT VINCENT AND THE GRENADINES,thousands,262,256,306,328,250,271,231,208,200,200,205,207,227,304,356,399,155,57,210
SAUDI ARABIA,thousands,11 083,10 417,10 962,13 479,17 717,13 319,13 025,15 776,19 847,19 934,23 010,21 834,20 887,18 607,17 570,20 292,4 882,3 869,18 256
SEYCHELLES,thousands,126,135,151,171,173,178,191,210,216,237,239,296,333,382,405,428,125,183,339
SINGAPORE,thousands,8 329,8 943,9 751,10 285,10 116,9 683,11 642,13 171,14 496,15 568,15 095,15 232,16 403,17 425,18 508,19 116,2 742,330,6 306
SINT MAARTEN (DUTCH PART),thousands,1 823,1 956,1 890,1 891,1 821,1 655,1 956,2 080,2 210,2 253,2 502,2 407,2 197,1 640,1 775,1 952,542,482,1 217
SOUTH AFRICA,thousands,6 815,7 518,8 509,9 208,9 729,9 532,11 303,12 097,13 069,14 318,14 530,13 952,15 121,14 975,15 004,14 797,3 887,2 664,7 342
SPAIN,thousands,85 981,92 563,96 152,98 907,97 670,91 899,93 744,99 187,98 128,103 231,107 144,109 834,115 561,121 717,124 456,126 170,36 410,51 631,104 968
SRI LANKA,thousands,681,669,689,592,526,538,766,976,1 133,1 415,1 665,1 993,2 168,2 248,2 521,2 027,540,195,759
TAIWAN PROVINCE OF CHINA,thousands,2 950,3 378,3 520,3 716,3 845,4 395,5 567,6 087,7 311,8 016,9 910,10 440,10 690,10 740,11 067,11 864,1 378,140,896
TONGA,thousands,51,60,54,65,65,75,65,68,57,60,66,73,87,87,77,94,12,0,22
TRINIDAD AND TOBAGO,thousands,501,529,534,531,482,534,490,491,504,467,459,522,498,470,508,482,141,41,253
TÜRKIYE,thousands,17 517,21 125,19 820,27 215,31 138,31 760,32 997,36 769,37 715,39 861,41 627,41 114,30 907,37 970,46 113,51 747,15 971,30 039,51 388
UKRAINE,thousands,18 583,20 489,21 714,26 162,28 827,24 033,24 114,24 535,25 061,26 025,13 227,13 025,13 734,14 579,14 342,13 710,3 382,4 272,2 307
UNITED KINGDOM,thousands,27 755,29 970,32 713,32 778,31 888,31 072,30 398,31 886,32 221,33 567,35 337,36 792,39 129,41 080,40 283,40 857,11 101,6 384,31 244
UZBEKISTAN,thousands,262,242,560,903,1 069,1 215,975,1 393,1 895,1 969,1 862,1 918,2 027,2 690,5 346,6 749,1 504,1 881,5 233
VIET NAM,thousands,2 928,3 477,3 583,4 229,4 236,3 747,5 050,6 014,6 848,7 572,7 874,7 944,10 013,12 922,15 498,18 009,3 837,157,3 661
ZIMBABWE,thousands,1 854,1 559,2 287,2 506,1 956,2 017,2 239,2 423,1 794,1 833,1 880,2 057,2 168,2 423,2 580,2 294,639,381,1 044
