,country,units,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
126,FIJI,Thousands,513,547,..,542,627,605,692,734,741,769,781,869,963,1 027,1 058,969,168,32,652
128,FINLAND,Thousands,4 854,5 038,5 345,5 736,6 072,5 695,6 182,7 260,7 636,..,..,..,..,..,..,..,..,..,..
130,FRANCE,Thousands,190 282,185 829,193 882,193 319,193 571,192 369,189 826,196 595,197 522,204 410,206 599,203 302,203 042,207 274,211 998,217 877,117 109,141 297,..
132,FRENCH GUIANA,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
134,FRENCH POLYNESIA,Thousands,..,..,..,243,227,190,179,196,210,214,228,239,241,254,260,282,89,95,261
136,GABON,Thousands,351,526,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
138,GAMBIA,Thousands,459,460,613,487,643,..,..,..,..,..,..,..,..,..,..,..,..,..,..
140,GEORGIA,Thousands,368,560,983,1 052,1 290,1 500,2 032,2 712,4 106,4 954,5 004,5 256,5 393,6 483,7 203,7 726,1 513,1 721,4 704
142,GERMANY,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
144,GHANA,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
146,GREECE,Thousands,14 268,15 938,17 284,..,..,..,..,..,..,20 112,24 272,26 114,28 071,30 161,33 072,34 005,7 406,15 246,29 876
148,GRENADA,Thousands,370,380,342,406,428,460,445,447,370,327,387,437,474,468,529,526,217,72,335
150,GUADELOUPE,Thousands,560,445,447,500,527,458,497,419,487,645,720,822,857,970,1 166,..,..,..,..
152,GUAM,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
154,GUATEMALA,Thousands,1 182,1 316,1 502,1 628,1 715,1 311,1 384,1 434,1 491,1 516,1 739,1 865,1 906,2 113,2 406,2 560,594,666,1 845
156,GUINEA,Thousands,..,..,47,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
158,GUINEA-BISSAU,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
160,GUYANA,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
162,HAITI,Thousands,385,480,558,868,758,826,793,946,959,1 064,1 128,1 190,1 153,1 262,1 333,938,322,148,..
164,HONDURAS,Thousands,1 026,1 118,1 136,1 309,1 561,1 589,1 965,1 852,1 903,1 857,2 082,2 093,2 228,2 144,2 323,2 315,669,826,1 911
166,"HONG KONG, CHINA",Thousands,21 811,23 359,25 251,28 169,29 507,29 591,36 030,41 921,48 615,54 299,60 839,59 308,56 655,58 472,65 148,55 913,3 569,91,605
168,HUNGARY,Thousands,33 934,36 173,38 318,39 379,39 554,40 624,39 904,41 304,43 565,43 611,45 984,48 345,52 890,54 962,57 667,61 397,31 641,36 688,46 343
170,ICELAND,Thousands,405,429,477,539,561,563,559,628,765,900,1 102,1 389,1 891,2 353,2 488,2 202,488,717,..
172,INDIA,Thousands,3 512,4 038,4 626,5 244,5 373,5 295,5 881,..,..,..,..,..,..,15 543,17 423,17 914,6 337,7 010,14 330
174,INDONESIA,Thousands,5 321,5 002,4 871,5 506,6 234,6 324,7 003,7 650,8 044,8 802,9 435,10 407,11 519,14 040,15 810,16 107,4 053,1 558,5 889
176,"IRAN, ISLAMIC REPUBLIC OF",Thousands,1 659,1 889,2 735,2 219,2 034,2 116,2 938,3 354,3 834,4 769,4 968,5 237,4 942,4 867,7 295,9 107,1 550,989,4 108
178,IRAQ,Thousands,..,..,..,..,864,1 262,1 518,1 510,1 111,892,..,..,..,..,..,..,..,..,..
180,IRELAND,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
182,ISRAEL,Thousands,1 506,1 916,1 834,2 294,3 034,2 740,3 444,3 362,3 520,3 540,3 251,3 109,3 070,3 863,4 389,4 905,887,402,2 851
184,ITALY,Thousands,58 480,59 230,66 353,70 271,70 719,71 692,73 225,75 866,76 293,76 762,77 694,81 068,84 925,89 931,93 229,95 399,38 419,40 186,74 317
186,JAMAICA,Thousands,2 515,2 615,3 016,2 880,2 859,2 753,2 832,3 077,3 306,3 274,3 504,3 692,3 837,4 276,4 319,4 234,1 330,1 535,3 331
188,JAPAN,Thousands,6 138,6 728,7 334,8 347,8 351,6 790,8 611,6 219,8 358,10 364,13 413,19 737,24 039,28 691,31 192,31 882,4 116,246,3 832
190,JORDAN,Thousands,5 587,5 817,6 573,6 529,7 100,7 085,8 078,6 813,6 314,5 389,5 327,4 809,4 236,4 565,4 922,5 361,1 240,2 359,5 049
192,KAZAKHSTAN,Thousands,4 291,4 365,4 707,5 311,4 117,3 774,4 097,5 685,6 163,6 841,6 333,6 430,6 509,7 701,8 789,8 515,2 035,1 330,4 729
194,KENYA,Thousands,1 361,1 479,1 601,1 817,1 203,1 490,1 609,1 823,1 711,1 520,1 350,1 181,1 340,1 449,2 025,2 049,568,870,1 484
196,KIRIBATI,Thousands,64,50,11,32,..,..,..,..,..,..,"8,3","8,2","7,6","7,5","9,0","12,0",..,..,..
198,"KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF",Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
200,"KOREA, REPUBLIC OF",Thousands,5 818,6 023,6 155,6 448,6 891,7 818,8 798,9 795,11 140,12 176,14 202,13 232,17 242,13 336,15 347,17 503,2 519,967,3 198
202,KUWAIT,Thousands,3 056,3 474,3 899,4 482,4 736,5 088,5 208,5 574,5 729,6 217,6 528,6 941,7 055,7 407,8 508,8 565,2 161,1 606,..
204,KYRGYZSTAN,Thousands,398,319,766,1 656,2 379,2 451,1 224,3 025,3 393,4 134,3 791,4 000,3 853,4 568,6 947,8 508,2 079,3 169,6 901
206,LAO PEOPLE´S DEMOCRATIC REPUBLIC,Thousands,895,1 095,1 215,1 624,1 737,2 008,2 513,2 724,3 330,3 779,4 159,4 684,4 239,3 869,4 186,4 791,886,..,..
208,LATVIA,Thousands,3 127,3 791,4 649,5 209,5 496,4 727,5 042,5 538,5 569,5 822,6 246,6 842,6 797,7 726,7 775,8 342,3 204,1 937,..
210,LEBANON,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
212,LESOTHO,Thousands,304,304,357,300,293,344,426,398,423,433,1 079,1 082,1 196,1 137,1 173,1 142,..,279,..
214,LIBERIA,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
216,LIBYA,Thousands,..,..,125,106,760,..,..,..,..,..,..,..,..,..,..,..,..,..,..
218,LIECHTENSTEIN,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
220,LITHUANIA,Thousands,..,..,..,4 251,4 459,4 001,4 073,4 504,4 979,5 264,5 217,5 048,5 322,5 590,6 115,6 150,2 284,2 096,4 725
222,LUXEMBOURG,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
224,"MACAO, CHINA",Thousands,16 673,18 711,21 998,27 003,22 933,21 753,24 965,28 002,28 082,29 325,31 526,30 715,30 950,32 611,35 804,39 406,5 897,7 706,5 700
226,MADAGASCAR,Thousands,..,..,..,..,..,..,..,..,..,..,..,282,333,285,360,486,87,8,..
228,MALAWI,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
230,MALAYSIA,Thousands,24 432,24 209,25 298,28 325,25 321,31 509,..,..,..,..,..,..,..,..,..,35 046,6 102,399,19 016
232,MALDIVES,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
234,MALI,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
236,MALTA,Thousands,1 428,1 484,1 521,1 723,1 832,1 608,1 815,1 916,2 007,2 013,2 162,2 383,2 592,2 944,3 232,3 519,718,1 110,2 776
238,MARSHALL ISLANDS,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,"6,5","7,9",..,..,"2,0",..,..
240,MARTINIQUE,Thousands,630,577,599,573,568,511,553,538,603,622,696,762,842,1 003,1 002,919,524,312,661
242,MAURITANIA,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
244,MAURITIUS,Thousands,739,782,807,933,970,890,956,983,984,1 015,1 065,1 174,1 307,1 371,1 431,1 418,316,180,1 003
246,MEXICO,Thousands,99 250,103 146,97 701,93 582,92 948,88 044,81 953,75 732,76 749,78 100,81 042,87 129,94 853,99 349,96 497,97 406,51 128,55 301,65 995
248,"MICRONESIA, FEDERATED STATES OF",Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
250,"MOLDOVA, REPUBLIC OF",Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
