;countrie;del;total_arrivals;del1;del2;Units;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
85;BELIZE;;Total arrivals;;;Thousands;1 329;1 037;903;880;846;941;1 054;1 106;1 028;1 022;1 289;1 299;1 391;1 441;1 697;1 674;487;437;..
89;BENIN;;;;;;;;;;;;;;;;;;;;;;;;
91;BENIN;;Total arrivals;;;Thousands;845;960;975;1 010;1 027;..;..;222;232;252;265;279;292;307;322;337;354;..;..
95;BERMUDA;;;;;;;;;;;;;;;;;;;;;;;;
97;BERMUDA;;Total arrivals;;;Thousands;478;517;635;660;550;554;580;652;610;576;580;597;642;688;766;805;51;86;549
101;BHUTAN;;;;;;;;;;;;;;;;;;;;;;;;
103;BHUTAN;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
107;BOLIVIA, PLURINATIONAL STATE OF;;;;;;;;;;;;;;;;;;;;;;;;
109;BOLIVIA, PLURINATIONAL STATE OF;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
113;BONAIRE;;;;;;;;;;;;;;;;;;;;;;;;
115;BONAIRE;;Total arrivals;;;Thousands;116;103;126;172;250;280;297;..;..;..;..;..;..;..;..;..;..;..;..
119;BOSNIA AND HERZEGOVINA;;;;;;;;;;;;;;;;;;;;;;;;
121;BOSNIA AND HERZEGOVINA;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
125;BOTSWANA;;;;;;;;;;;;;;;;;;;;;;;;
127;BOTSWANA;;Total arrivals;;;Thousands;1 727;1 684;1 642;1 965;2 344;..;..;..;..;..;..;1 660;1 712;1 775;1 830;1 555;358;338;..
131;BRAZIL;;;;;;;;;;;;;;;;;;;;;;;;
133;BRAZIL;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
137;BRITISH VIRGIN ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
139;BRITISH VIRGIN ISLANDS;;Total arrivals;;;Thousands;813;821;825;948;934;857;842;831;753;742;773;922;1 124;..;..;895;..;..;..
143;BRUNEI DARUSSALAM;;;;;;;;;;;;;;;;;;;;;;;;
145;BRUNEI DARUSSALAM;;Total arrivals;;;Thousands;..;815;836;877;..;..;..;..;..;..;..;..;4 257;4 316;4 521;4 449;1 071;110;..
149;BULGARIA;;;;;;;;;;;;;;;;;;;;;;;;
151;BULGARIA;;Total arrivals;;;Thousands;6 982;7 282;7 499;7 726;8 533;7 873;8 374;8 713;8 867;9 192;9 409;9 317;10 604;11 596;12 368;12 552;4 973;7 188;10 888
155;BURKINA FASO;;;;;;;;;;;;;;;;;;;;;;;;
157;BURKINA FASO;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
161;BURUNDI;;;;;;;;;;;;;;;;;;;;;;;;
163;BURUNDI;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
167;CABO VERDE;;;;;;;;;;;;;;;;;;;;;;;;
169;CABO VERDE;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
173;CAMBODIA;;;;;;;;;;;;;;;;;;;;;;;;
175;CAMBODIA;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
179;CAMEROON;;;;;;;;;;;;;;;;;;;;;;;;
181;CAMEROON;;Total arrivals;;;Thousands;..;..;451;477;487;498;573;604;817;783;822;897;994;1 081;997;1 021;616;963;539
185;CANADA;;;;;;;;;;;;;;;;;;;;;;;;
187;CANADA;;Total arrivals;;;Thousands;38 845;36 160;33 390;30 373;27 370;24 696;25 621;25 066;25 318;25 167;25 558;27 555;30 142;31 081;31 274;32 430;5 068;4 282;17 924
191;CAYMAN ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
193;CAYMAN ISLANDS;;Total arrivals;;;Thousands;1 953;1 967;2 197;2 008;1 856;1 792;1 886;1 710;1 829;1 721;1 993;2 102;2 097;2 147;2 384;2 334;660;..;1 028
197;CENTRAL AFRICAN REPUBLIC;;;;;;;;;;;;;;;;;;;;;;;;
199;CENTRAL AFRICAN REPUBLIC;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
203;CHAD;;;;;;;;;;;;;;;;;;;;;;;;
205;CHAD;;Total arrivals;;;Thousands;106;59;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
209;CHILE;;;;;;;;;;;;;;;;;;;;;;;;
211;CHILE;;Total arrivals;;;Thousands;..;..;..;..;3 713;3 657;3 584;3 963;4 397;4 457;4 601;5 487;6 712;7 621;6 603;5 431;1 311;192;2 269
215;CHINA;;;;;;;;;;;;;;;;;;;;;;;;
217;CHINA;;Total arrivals;;;Thousands;109 038;120 292;124 942;131 873;130 027;126 476;133 762;135 423;132 405;129 078;128 499;133 820;141 774;153 260;158 606;162 538;27 467;26 380;25 250
221;COLOMBIA;;;;;;;;;;;;;;;;;;;;;;;;
223;COLOMBIA;;Total arrivals;;;Thousands;840;981;2 096;2 381;2 545;2 649;1 701;2 356;2 434;2 595;2 866;3 371;3 675;4 056;4 398;4 531;1 387;2 146;4 686
227;COMOROS;;;;;;;;;;;;;;;;;;;;;;;;
229;COMOROS;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
233;CONGO;;;;;;;;;;;;;;;;;;;;;;;;
235;CONGO;;Total arrivals;;;Thousands;..;..;..;..;..;..;199;224;259;345;229;224;213;151;158;..;..;..;..
239;CONGO, DEMOCRATIC REPUBLIC OF THE;;;;;;;;;;;;;;;;;;;;;;;;
241;CONGO, DEMOCRATIC REPUBLIC OF THE;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;197;..;..;..;..;..;..;..;..;..;..;..
245;COOK ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
247;COOK ISLANDS;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
251;COSTA RICA;;;;;;;;;;;;;;;;;;;;;;;;
253;COSTA RICA;;Total arrivals;;;Thousands;1 771;1 959;2 071;2 302;2 409;2 309;2 495;2 526;2 542;2 641;2 760;2 899;3 204;3 231;3 313;3 378;1 147;1 376;2 497
257;COTE D´IVOIRE;;;;;;;;;;;;;;;;;;;;;;;;
259;COTE D´IVOIRE;;Total arrivals;;;Thousands;..;..;..;182;205;231;252;270;289;380;471;1 441;1 583;1 800;1 965;2 070;668;576;2 047
263;CROATIA;;;;;;;;;;;;;;;;;;;;;;;;
265;CROATIA;;Total arrivals;;;Thousands;44 974;45 762;47 733;52 271;51 336;47 573;49 006;49 969;47 185;48 345;51 168;55 858;57 587;59 238;57 668;60 021;21 608;34 123;50 023
269;CUBA;;;;;;;;;;;;;;;;;;;;;;;;
271;CUBA;;Total arrivals;;;Thousands;2 049;2 319;2 221;2 152;2 348;2 430;2 532;2 716;2 847;2 862;3 014;3 540;4 009;4 654;4 712;4 276;1 086;356;1 614
275;CURAÇAO;;;;;;;;;;;;;;;;;;;;;;;;
277;CURAÇAO;;Total arrivals;;;Thousands;452;510;572;664;773;808;762;837;908;1 071;1 129;1 072;944;1 058;1 210;1 293;436;418;1 034
281;CYPRUS;;;;;;;;;;;;;;;;;;;;;;;;
283;CYPRUS;;Total arrivals;;;Thousands;2 478;2 657;2 629;2 671;2 631;2 370;2 450;2 626;2 635;2 626;2 558;2 780;3 286;3 750;4 024;4 117;..;..;..
287;CZECH REPUBLIC (CZECHIA);;;;;;;;;;;;;;;;;;;;;;;;
289;CZECH REPUBLIC (CZECHIA);;Total arrivals;;;Thousands;23 808;24 747;25 102;22 625;21 850;23 285;21 941;22 810;25 750;26 332;27 166;29 604;32 519;34 701;36 268;37 202;10 267;10 014;..
293;DENMARK;;;;;;;;;;;;;;;;;;;;;;;;
295;DENMARK;;Total arrivals;;;Thousands;22 054;26 927;26 936;27 138;26 870;26 571;26 730;25 811;26 402;26 516;28 070;28 209;28 692;30 736;30 801;32 065;16 031;18 372;31 530
299;DJIBOUTI;;;;;;;;;;;;;;;;;;;;;;;;
301;DJIBOUTI;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
305;DOMINICA;;;;;;;;;;;;;;;;;;;;;;;;
307;DOMINICA;;Total arrivals;;;Thousands;466;381;465;437;468;608;595;418;348;311;370;358;356;230;199;322;140;66;235
311;DOMINICAN REPUBLIC;;;;;;;;;;;;;;;;;;;;;;;;
313;DOMINICAN REPUBLIC;;Total arrivals;;;Thousands;3 907;3 981;4 268;4 365;4 455;4 489;4 478;4 654;4 901;5 114;5 576;6 129;6 769;7 296;7 551;7 550;2 748;5 327;8 489
317;ECUADOR;;;;;;;;;;;;;;;;;;;;;;;;
319;ECUADOR;;Total arrivals;;;Thousands;819;860;841;937;1 005;968;1 047;1 141;1 272;1 364;1 695;1 676;1 569;1 806;2 535;2 108;507;669;1 265
323;EGYPT;;;;;;;;;;;;;;;;;;;;;;;;
325;EGYPT;;Total arrivals;;;Thousands;8 104;8 608;9 083;11 091;12 835;12 536;14 731;9 845;11 532;9 464;9 878;9 328;5 399;8 292;11 346;13 026;3 677;7 998;11 724
329;EL SALVADOR;;;;;;;;;;;;;;;;;;;;;;;;
331;EL SALVADOR;;Total arrivals;;;Thousands;1 030;1 306;1 501;1 720;1 875;1 482;1 606;1 634;1 738;1 822;1 886;1 973;2 052;2 247;2 536;2 639;707;1 436;2 541
335;EQUATORIAL GUINEA;;;;;;;;;;;;;;;;;;;;;;;;
337;EQUATORIAL GUINEA;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
341;ERITREA;;;;;;;;;;;;;;;;;;;;;;;;
343;ERITREA;;Total arrivals;;;Thousands;87;83;78;81;70;79;84;107;129;141;119;114;142;..;..;..;..;..;..
347;ESTONIA;;;;;;;;;;;;;;;;;;;;;;;;
349;ESTONIA;;Total arrivals;;;Thousands;..;..;..;..;3 828;3 834;4 369;4 907;5 007;5 737;5 804;5 696;5 942;6 145;6 033;6 103;1 695;1 310;3 497
353;ESWATINI;;;;;;;;;;;;;;;;;;;;;;;;
355;ESWATINI;;Total arrivals;;;Thousands;..;1 182;1 200;1 230;1 186;1 344;1 343;1 328;1 278;1 299;1 325;1 256;1 279;1 343;1 277;1 226;345;211;503
359;ETHIOPIA;;;;;;;;;;;;;;;;;;;;;;;;
361;ETHIOPIA;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
365;FIJI;;;;;;;;;;;;;;;;;;;;;;;;
367;FIJI;;Total arrivals;;;Thousands;513;547;..;542;627;605;692;734;741;769;781;869;963;1 027;1 058;969;168;32;652
371;FINLAND;;;;;;;;;;;;;;;;;;;;;;;;
373;FINLAND;;Total arrivals;;;Thousands;4 854;5 038;5 345;5 736;6 072;5 695;6 182;7 260;7 636;..;..;..;..;..;..;..;..;..;..
377;FRANCE;;;;;;;;;;;;;;;;;;;;;;;;
379;FRANCE;;Total arrivals;;;Thousands;190 282;185 829;193 882;193 319;193 571;192 369;189 826;196 595;197 522;204 410;206 599;203 302;203 042;207 274;211 998;217 877;117 109;141 297;..
383;FRENCH GUIANA;;;;;;;;;;;;;;;;;;;;;;;;
385;FRENCH GUIANA;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
389;FRENCH POLYNESIA;;;;;;;;;;;;;;;;;;;;;;;;
391;FRENCH POLYNESIA;;Total arrivals;;;Thousands;..;..;..;243;227;190;179;196;210;214;228;239;241;254;260;282;89;95;261
395;GABON;;;;;;;;;;;;;;;;;;;;;;;;
397;GABON;;Total arrivals;;;Thousands;351;526;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
401;GAMBIA;;;;;;;;;;;;;;;;;;;;;;;;
403;GAMBIA;;Total arrivals;;;Thousands;459;460;613;487;643;..;..;..;..;..;..;..;..;..;..;..;..;..;..
407;GEORGIA;;;;;;;;;;;;;;;;;;;;;;;;
409;GEORGIA;;Total arrivals;;;Thousands;368;560;983;1 052;1 290;1 500;2 032;2 712;4 106;4 954;5 004;5 256;5 393;6 483;7 203;7 726;1 513;1 721;4 704
413;GERMANY;;;;;;;;;;;;;;;;;;;;;;;;
415;GERMANY;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
419;GHANA;;;;;;;;;;;;;;;;;;;;;;;;
421;GHANA;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
425;GREECE;;;;;;;;;;;;;;;;;;;;;;;;
427;GREECE;;Total arrivals;;;Thousands;14 268;15 938;17 284;..;..;..;..;..;..;20 112;24 272;26 114;28 071;30 161;33 072;34 005;7 406;15 246;29 876
431;GRENADA;;;;;;;;;;;;;;;;;;;;;;;;
433;GRENADA;;Total arrivals;;;Thousands;370;380;342;406;428;460;445;447;370;327;387;437;474;468;529;526;217;72;335
437;GUADELOUPE;;;;;;;;;;;;;;;;;;;;;;;;
439;GUADELOUPE;;Total arrivals;;;Thousands;560;445;447;500;527;458;497;419;487;645;720;822;857;970;1 166;..;..;..;..
443;GUAM;;;;;;;;;;;;;;;;;;;;;;;;
445;GUAM;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
449;GUATEMALA;;;;;;;;;;;;;;;;;;;;;;;;
451;GUATEMALA;;Total arrivals;;;Thousands;1 182;1 316;1 502;1 628;1 715;1 311;1 384;1 434;1 491;1 516;1 739;1 865;1 906;2 113;2 406;2 560;594;666;1 845
455;GUINEA;;;;;;;;;;;;;;;;;;;;;;;;
457;GUINEA;;Total arrivals;;;Thousands;..;..;47;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
461;GUINEA-BISSAU;;;;;;;;;;;;;;;;;;;;;;;;
463;GUINEA-BISSAU;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
467;GUYANA;;;;;;;;;;;;;;;;;;;;;;;;
469;GUYANA;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
473;HAITI;;;;;;;;;;;;;;;;;;;;;;;;
475;HAITI;;Total arrivals;;;Thousands;385;480;558;868;758;826;793;946;959;1 064;1 128;1 190;1 153;1 262;1 333;938;322;148;..
479;HONDURAS;;;;;;;;;;;;;;;;;;;;;;;;
481;HONDURAS;;Total arrivals;;;Thousands;1 026;1 118;1 136;1 309;1 561;1 589;1 965;1 852;1 903;1 857;2 082;2 093;2 228;2 144;2 323;2 315;669;826;1 911
485;HONG KONG, CHINA;;;;;;;;;;;;;;;;;;;;;;;;
487;HONG KONG, CHINA;;Total arrivals;;;Thousands;21 811;23 359;25 251;28 169;29 507;29 591;36 030;41 921;48 615;54 299;60 839;59 308;56 655;58 472;65 148;55 913;3 569;91;605
491;HUNGARY;;;;;;;;;;;;;;;;;;;;;;;;
493;HUNGARY;;Total arrivals;;;Thousands;33 934;36 173;38 318;39 379;39 554;40 624;39 904;41 304;43 565;43 611;45 984;48 345;52 890;54 962;57 667;61 397;31 641;36 688;46 343
497;ICELAND;;;;;;;;;;;;;;;;;;;;;;;;
499;ICELAND;;Total arrivals;;;Thousands;405;429;477;539;561;563;559;628;765;900;1 102;1 389;1 891;2 353;2 488;2 202;488;717;..
503;INDIA;;;;;;;;;;;;;;;;;;;;;;;;
505;INDIA;;Total arrivals;;;Thousands;3 512;4 038;4 626;5 244;5 373;5 295;5 881;..;..;..;..;..;..;15 543;17 423;17 914;6 337;7 010;14 330
509;INDONESIA;;;;;;;;;;;;;;;;;;;;;;;;
511;INDONESIA;;Total arrivals;;;Thousands;5 321;5 002;4 871;5 506;6 234;6 324;7 003;7 650;8 044;8 802;9 435;10 407;11 519;14 040;15 810;16 107;4 053;1 558;5 889
515;IRAN, ISLAMIC REPUBLIC OF;;;;;;;;;;;;;;;;;;;;;;;;
517;IRAN, ISLAMIC REPUBLIC OF;;Total arrivals;;;Thousands;1 659;1 889;2 735;2 219;2 034;2 116;2 938;3 354;3 834;4 769;4 968;5 237;4 942;4 867;7 295;9 107;1 550;989;4 108
521;IRAQ;;;;;;;;;;;;;;;;;;;;;;;;
523;IRAQ;;Total arrivals;;;Thousands;..;..;..;..;864;1 262;1 518;1 510;1 111;892;..;..;..;..;..;..;..;..;..
527;IRELAND;;;;;;;;;;;;;;;;;;;;;;;;
529;IRELAND;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
533;ISRAEL;;;;;;;;;;;;;;;;;;;;;;;;
535;ISRAEL;;Total arrivals;;;Thousands;1 506;1 916;1 834;2 294;3 034;2 740;3 444;3 362;3 520;3 540;3 251;3 109;3 070;3 863;4 389;4 905;887;402;2 851
539;ITALY;;;;;;;;;;;;;;;;;;;;;;;;
541;ITALY;;Total arrivals;;;Thousands;58 480;59 230;66 353;70 271;70 719;71 692;73 225;75 866;76 293;76 762;77 694;81 068;84 925;89 931;93 229;95 399;38 419;40 186;74 317
545;JAMAICA;;;;;;;;;;;;;;;;;;;;;;;;
547;JAMAICA;;Total arrivals;;;Thousands;2 515;2 615;3 016;2 880;2 859;2 753;2 832;3 077;3 306;3 274;3 504;3 692;3 837;4 276;4 319;4 234;1 330;1 535;3 331
551;JAPAN;;;;;;;;;;;;;;;;;;;;;;;;
553;JAPAN;;Total arrivals;;;Thousands;6 138;6 728;7 334;8 347;8 351;6 790;8 611;6 219;8 358;10 364;13 413;19 737;24 039;28 691;31 192;31 882;4 116;246;3 832
557;JORDAN;;;;;;;;;;;;;;;;;;;;;;;;
559;JORDAN;;Total arrivals;;;Thousands;5 587;5 817;6 573;6 529;7 100;7 085;8 078;6 813;6 314;5 389;5 327;4 809;4 236;4 565;4 922;5 361;1 240;2 359;5 049
563;KAZAKHSTAN;;;;;;;;;;;;;;;;;;;;;;;;
565;KAZAKHSTAN;;Total arrivals;;;Thousands;4 291;4 365;4 707;5 311;4 117;3 774;4 097;5 685;6 163;6 841;6 333;6 430;6 509;7 701;8 789;8 515;2 035;1 330;4 729
569;KENYA;;;;;;;;;;;;;;;;;;;;;;;;
571;KENYA;;Total arrivals;;;Thousands;1 361;1 479;1 601;1 817;1 203;1 490;1 609;1 823;1 711;1 520;1 350;1 181;1 340;1 449;2 025;2 049;568;870;1 484
575;KIRIBATI;;;;;;;;;;;;;;;;;;;;;;;;
577;KIRIBATI;;Total arrivals;;;Thousands;64;50;11;32;..;..;..;..;..;..;8,3;8,2;7,6;7,5;9,0;12,0;..;..;..
581;KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF;;;;;;;;;;;;;;;;;;;;;;;;
583;KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
587;KOREA, REPUBLIC OF;;;;;;;;;;;;;;;;;;;;;;;;
589;KOREA, REPUBLIC OF;;Total arrivals;;;Thousands;5 818;6 023;6 155;6 448;6 891;7 818;8 798;9 795;11 140;12 176;14 202;13 232;17 242;13 336;15 347;17 503;2 519;967;3 198
593;KUWAIT;;;;;;;;;;;;;;;;;;;;;;;;
595;KUWAIT;;Total arrivals;;;Thousands;3 056;3 474;3 899;4 482;4 736;5 088;5 208;5 574;5 729;6 217;6 528;6 941;7 055;7 407;8 508;8 565;2 161;1 606;..
599;KYRGYZSTAN;;;;;;;;;;;;;;;;;;;;;;;;
601;KYRGYZSTAN;;Total arrivals;;;Thousands;398;319;766;1 656;2 379;2 451;1 224;3 025;3 393;4 134;3 791;4 000;3 853;4 568;6 947;8 508;2 079;3 169;6 901
605;LAO PEOPLE´S DEMOCRATIC REPUBLIC;;;;;;;;;;;;;;;;;;;;;;;;
607;LAO PEOPLE´S DEMOCRATIC REPUBLIC;;Total arrivals;;;Thousands;895;1 095;1 215;1 624;1 737;2 008;2 513;2 724;3 330;3 779;4 159;4 684;4 239;3 869;4 186;4 791;886;..;..
611;LATVIA;;;;;;;;;;;;;;;;;;;;;;;;
613;LATVIA;;Total arrivals;;;Thousands;3 127;3 791;4 649;5 209;5 496;4 727;5 042;5 538;5 569;5 822;6 246;6 842;6 797;7 726;7 775;8 342;3 204;1 937;..
617;LEBANON;;;;;;;;;;;;;;;;;;;;;;;;
619;LEBANON;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
623;LESOTHO;;;;;;;;;;;;;;;;;;;;;;;;
625;LESOTHO;;Total arrivals;;;Thousands;304;304;357;300;293;344;426;398;423;433;1 079;1 082;1 196;1 137;1 173;1 142;..;279;..
629;LIBERIA;;;;;;;;;;;;;;;;;;;;;;;;
631;LIBERIA;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
635;LIBYA;;;;;;;;;;;;;;;;;;;;;;;;
637;LIBYA;;Total arrivals;;;Thousands;..;..;125;106;760;..;..;..;..;..;..;..;..;..;..;..;..;..;..
641;LIECHTENSTEIN;;;;;;;;;;;;;;;;;;;;;;;;
643;LIECHTENSTEIN;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
647;LITHUANIA;;;;;;;;;;;;;;;;;;;;;;;;
649;LITHUANIA;;Total arrivals;;;Thousands;..;..;..;4 251;4 459;4 001;4 073;4 504;4 979;5 264;5 217;5 048;5 322;5 590;6 115;6 150;2 284;2 096;4 725
653;LUXEMBOURG;;;;;;;;;;;;;;;;;;;;;;;;
655;LUXEMBOURG;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
659;MACAO, CHINA;;;;;;;;;;;;;;;;;;;;;;;;
661;MACAO, CHINA;;Total arrivals;;;Thousands;16 673;18 711;21 998;27 003;22 933;21 753;24 965;28 002;28 082;29 325;31 526;30 715;30 950;32 611;35 804;39 406;5 897;7 706;5 700
665;MADAGASCAR;;;;;;;;;;;;;;;;;;;;;;;;
667;MADAGASCAR;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;282;333;285;360;486;87;8;..
671;MALAWI;;;;;;;;;;;;;;;;;;;;;;;;
673;MALAWI;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
677;MALAYSIA;;;;;;;;;;;;;;;;;;;;;;;;
679;MALAYSIA;;Total arrivals;;;Thousands;24 432;24 209;25 298;28 325;25 321;31 509;..;..;..;..;..;..;..;..;..;35 046;6 102;399;19 016
683;MALDIVES;;;;;;;;;;;;;;;;;;;;;;;;
685;MALDIVES;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
689;MALI;;;;;;;;;;;;;;;;;;;;;;;;
691;MALI;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
695;MALTA;;;;;;;;;;;;;;;;;;;;;;;;
697;MALTA;;Total arrivals;;;Thousands;1 428;1 484;1 521;1 723;1 832;1 608;1 815;1 916;2 007;2 013;2 162;2 383;2 592;2 944;3 232;3 519;718;1 110;2 776
701;MARSHALL ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
