Unnamed: 0,country,units,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
122,ESWATINI,Thousands,,1182.0,1200.0,1230.0,1186.0,1344.0,1343.0,1328.0,1278.0,1299.0,1325.0,1256.0,1279.0,1343.0,1277.0,1226.0,345.0,211.0,503.0
124,ETHIOPIA,Thousands,,,,,,,,,,,,,,,,,,,
126,FIJI,Thousands,513.0,547.0,,542.0,627.0,605.0,692.0,734.0,741.0,769.0,781.0,869.0,963.0,1027.0,1058.0,969.0,168.0,32.0,652.0
128,FINLAND,Thousands,4854.0,5038.0,5345.0,5736.0,6072.0,5695.0,6182.0,7260.0,7636.0,,,,,,,,,,
130,FRANCE,Thousands,190282.0,185829.0,193882.0,193319.0,193571.0,192369.0,189826.0,196595.0,197522.0,204410.0,206599.0,203302.0,203042.0,207274.0,211998.0,217877.0,117109.0,141297.0,
132,FRENCH GUIANA,Thousands,,,,,,,,,,,,,,,,,,,
134,FRENCH POLYNESIA,Thousands,,,,243.0,227.0,190.0,179.0,196.0,210.0,214.0,228.0,239.0,241.0,254.0,260.0,282.0,89.0,95.0,261.0
136,GABON,Thousands,351.0,526.0,,,,,,,,,,,,,,,,,
138,GAMBIA,Thousands,459.0,460.0,613.0,487.0,643.0,,,,,,,,,,,,,,
140,GEORGIA,Thousands,368.0,560.0,983.0,1052.0,1290.0,1500.0,2032.0,2712.0,4106.0,4954.0,5004.0,5256.0,5393.0,6483.0,7203.0,7726.0,1513.0,1721.0,4704.0
142,GERMANY,Thousands,,,,,,,,,,,,,,,,,,,
144,GHANA,Thousands,,,,,,,,,,,,,,,,,,,
146,GREECE,Thousands,14268.0,15938.0,17284.0,,,,,,,20112.0,24272.0,26114.0,28071.0,30161.0,33072.0,34005.0,7406.0,15246.0,29876.0
148,GRENADA,Thousands,370.0,380.0,342.0,406.0,428.0,460.0,445.0,447.0,370.0,327.0,387.0,437.0,474.0,468.0,529.0,526.0,217.0,72.0,335.0
150,GUADELOUPE,Thousands,560.0,445.0,447.0,500.0,527.0,458.0,497.0,419.0,487.0,645.0,720.0,822.0,857.0,970.0,1166.0,,,,
152,GUAM,Thousands,,,,,,,,,,,,,,,,,,,
154,GUATEMALA,Thousands,1182.0,1316.0,1502.0,1628.0,1715.0,1311.0,1384.0,1434.0,1491.0,1516.0,1739.0,1865.0,1906.0,2113.0,2406.0,2560.0,594.0,666.0,1845.0
156,GUINEA,Thousands,,,47.0,,,,,,,,,,,,,,,,
158,GUINEA-BISSAU,Thousands,,,,,,,,,,,,,,,,,,,
160,GUYANA,Thousands,,,,,,,,,,,,,,,,,,,
162,HAITI,Thousands,385.0,480.0,558.0,868.0,758.0,826.0,793.0,946.0,959.0,1064.0,1128.0,1190.0,1153.0,1262.0,1333.0,938.0,322.0,148.0,
164,HONDURAS,Thousands,1026.0,1118.0,1136.0,1309.0,1561.0,1589.0,1965.0,1852.0,1903.0,1857.0,2082.0,2093.0,2228.0,2144.0,2323.0,2315.0,669.0,826.0,1911.0
166,"HONG KONG, CHINA",Thousands,21811.0,23359.0,25251.0,28169.0,29507.0,29591.0,36030.0,41921.0,48615.0,54299.0,60839.0,59308.0,56655.0,58472.0,65148.0,55913.0,3569.0,91.0,605.0
168,HUNGARY,Thousands,33934.0,36173.0,38318.0,39379.0,39554.0,40624.0,39904.0,41304.0,43565.0,43611.0,45984.0,48345.0,52890.0,54962.0,57667.0,61397.0,31641.0,36688.0,46343.0
170,ICELAND,Thousands,405.0,429.0,477.0,539.0,561.0,563.0,559.0,628.0,765.0,900.0,1102.0,1389.0,1891.0,2353.0,2488.0,2202.0,488.0,717.0,
172,INDIA,Thousands,3512.0,4038.0,4626.0,5244.0,5373.0,5295.0,5881.0,,,,,,,15543.0,17423.0,17914.0,6337.0,7010.0,14330.0
174,INDONESIA,Thousands,5321.0,5002.0,4871.0,5506.0,6234.0,6324.0,7003.0,7650.0,8044.0,8802.0,9435.0,10407.0,11519.0,14040.0,15810.0,16107.0,4053.0,1558.0,5889.0
176,"IRAN, ISLAMIC REPUBLIC OF",Thousands,1659.0,1889.0,2735.0,2219.0,2034.0,2116.0,2938.0,3354.0,3834.0,4769.0,4968.0,5237.0,4942.0,4867.0,7295.0,9107.0,1550.0,989.0,4108.0
178,IRAQ,Thousands,,,,,864.0,1262.0,1518.0,1510.0,1111.0,892.0,,,,,,,,,
180,IRELAND,Thousands,,,,,,,,,,,,,,,,,,,
