countrie;del;total_arrivals;del1;del2;Units;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
;;;;of which, cruise passengers;Thousands;518;428;232;179;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ICELAND;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;405;429;477;539;561;563;559;628;765;900;1 102;1 389;1 891;2 353;2 488;2 202;488;717;..
;;;Overnights visitors (tourists);;Thousands;360;374;422;485;502;494;489;566;673;807;997;1 289;1 792;2 225;2 344;2 013;486;698;..
;;;Same-day visitors (excursionists);;Thousands;45;55;55;54;59;69;70;63;92;92;105;100;99;128;145;189;1;19;..
;;;;of which, cruise passengers;Thousands;45;55;55;54;59;69;70;63;92;92;105;100;99;128;145;189;1;19;..
INDIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;3 512;4 038;4 626;5 244;5 373;5 295;5 881;..;..;..;..;..;..;15 543;17 423;17 914;6 337;7 010;14 330
;;;Overnights visitors (tourists);;Thousands;3 457;3 919;4 447;5 082;5 283;5 168;5 776;6 309;6 578;6 968;13 107;13 284;14 570;..;..;17 754;6 291;6 989;..
;;;Same-day visitors (excursionists);;Thousands;55;119;179;162;90;127;105;..;..;..;..;..;..;..;..;160;46;21;..
;;;;of which, cruise passengers;Thousands;55;119;179;162;90;127;105;..;..;..;..;..;..;..;..;13;2;1;..
INDONESIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;5 321;5 002;4 871;5 506;6 234;6 324;7 003;7 650;8 044;8 802;9 435;10 407;11 519;14 040;15 810;16 107;4 053;1 558;5 889
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;9 963;11 072;12 948;13 396;15 455;3 915;1 546;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;444;447;1 092;2 414;652;137;11;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
IRAN, ISLAMIC REPUBLIC OF;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 659;1 889;2 735;2 219;2 034;2 116;2 938;3 354;3 834;4 769;4 968;5 237;4 942;4 867;7 295;9 107;1 550;989;4 108
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;882;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;107;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
IRAQ;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;864;1 262;1 518;1 510;1 111;892;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
IRELAND;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;6 953;7 333;8 001;8 332;8 026;7 189;7 134;7 630;7 550;8 260;8 813;9 528;10 100;10 338;10 926;10 951;..;..;..
;;;Same-day visitors (excursionists);;Thousands;349;367;424;422;551;479;439;489;478;595;776;894;1 157;1 205;1 340;1 450;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ISRAEL;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 506;1 916;1 834;2 294;3 034;2 740;3 444;3 362;3 520;3 540;3 251;3 109;3 070;3 863;4 389;4 905;887;402;2 851
;;;Overnights visitors (tourists);;Thousands;1 506;1 903;1 825;2 067;2 572;2 321;2 803;2 820;2 886;2 962;2 927;2 799;2 900;3 613;4 121;4 552;831;397;2 675
;;;Same-day visitors (excursionists);;Thousands;0,2;13;9;227;462;418;641;542;635;578;324;309;170;250;269;353;56;6;176
;;;;of which, cruise passengers;Thousands;0,2;13;9;26;46;68;169;237;251;257;88;95;75;54;46;94;12;..;113
ITALY;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;58 480;59 230;66 353;70 271;70 719;71 692;73 225;75 866;76 293;76 762;77 694;81 068;84 925;89 931;93 229;95 399;38 419;40 186;74 317
;;;Overnights visitors (tourists);;Thousands;37 071;36 513;41 058;43 654;42 734;43 239;43 626;46 119;46 360;47 704;48 576;50 732;52 372;58 253;61 567;64 513;25 190;26 888;49 811
;;;Same-day visitors (excursionists);;Thousands;21 409;22 717;25 295;26 617;27 985;28 453;29 599;29 747;29 933;29 058;29 118;30 336;32 552;31 678;31 661;30 886;13 229;13 298;24 506
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
JAMAICA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;2 515;2 615;3 016;2 880;2 859;2 753;2 832;3 077;3 306;3 274;3 504;3 692;3 837;4 276;4 319;4 234;1 330;1 535;3 331
;;;Overnights visitors (tourists);;Thousands;1 415;1 479;1 679;1 701;1 767;1 831;1 922;1 952;1 986;2 008;2 080;2 123;2 182;2 353;2 473;2 681;880;1 464;2 478
;;;Same-day visitors (excursionists);;Thousands;1 100;1 136;1 337;1 180;1 092;922;910;1 125;1 320;1 265;1 424;1 569;1 656;1 923;1 846;1 553;449;71;852
;;;;of which, cruise passengers;Thousands;1 100;1 136;1 337;1 180;1 092;922;910;1 125;1 320;1 265;1 424;1 569;1 656;1 923;1 846;1 553;449;71;852
JAPAN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;6 138;6 728;7 334;8 347;8 351;6 790;8 611;6 219;8 358;10 364;13 413;19 737;24 039;28 691;31 192;31 882;4 116;246;3 832
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
JORDAN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;5 587;5 817;6 573;6 529;7 100;7 085;8 078;6 813;6 314;5 389;5 327;4 809;4 236;4 565;4 922;5 361;1 240;2 359;5 049
;;;Overnights visitors (tourists);;Thousands;2 853;2 987;3 225;3 431;3 729;3 789;4 207;3 960;4 162;3 945;3 990;3 761;3 567;3 844;4 150;4 488;1 067;2 012;4 277
;;;Same-day visitors (excursionists);;Thousands;2 734;2 831;3 348;3 098;3 372;3 295;3 871;2 853;2 152;1 444;1 337;1 048;669;722;772;872;173;347;772
;;;;of which, cruise passengers;Thousands;9;26;41;45;32;41;74;72;85;96;36;34;56;56;74;95;5;12;..
KAZAKHSTAN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;4 291;4 365;4 707;5 311;4 117;3 774;4 097;5 685;6 163;6 841;6 333;6 430;6 509;7 701;8 789;8 515;2 035;1 330;4 729
;;;Overnights visitors (tourists);;Thousands;3 073;3 143;3 468;3 876;3 005;2 755;2 991;4 093;4 437;4 926;4 560;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;1 218;1 222;1 239;1 435;1 112;1 019;1 106;1 592;1 726;1 915;1 773;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
KENYA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 361;1 479;1 601;1 817;1 203;1 490;1 609;1 823;1 711;1 520;1 350;1 181;1 340;1 449;2 025;2 049;568;870;1 484
;;;Overnights visitors (tourists);;Thousands;1 199;1 399;1 464;1 686;1 141;1 392;1 470;1 750;1 619;1 434;1 261;1 114;1 268;1 364;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;162;80;137;131;62;98;139;73;92;86;89;66;72;85;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
KIRIBATI;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;64;50;11;32;..;..;..;..;..;..;8,3;8,2;7,6;7,5;9,0;12,0;..;..;..
;;;Overnights visitors (tourists);;Thousands;3,4;4,1;4,4;4,7;3,9;3,9;4,7;5,3;4,9;5,9;5,0;3,9;5,7;5,8;7,1;7,9;1,4;0,1;1,8
;;;Same-day visitors (excursionists);;Thousands;61;46;6;28;..;..;..;..;..;..;3,3;4,3;1,9;1,7;1,9;4,1;..;..;..
;;;;of which, cruise passengers;Thousands;61;46;6;28;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
KOREA, REPUBLIC OF;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;5 818;6 023;6 155;6 448;6 891;7 818;8 798;9 795;11 140;12 176;14 202;13 232;17 242;13 336;15 347;17 503;2 519;967;3 198
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;699;955;1 046;2 258;505;218;279;3;0;0
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;699;955;1 046;2 258;505;218;279;3;0;0
KUWAIT;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;3 056;3 474;3 899;4 482;4 736;5 088;5 208;5 574;5 729;6 217;6 528;6 941;7 055;7 407;8 508;8 565;2 161;1 606;..
;;;Overnights visitors (tourists);;Thousands;91;104;185;293;259;297;207;269;300;307;198;182;203;183;200;153;86;85;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
KYRGYZSTAN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;398;319;766;1 656;2 379;2 451;1 224;3 025;3 393;4 134;3 791;4 000;3 853;4 568;6 947;8 508;2 079;3 169;6 901
;;;Overnights visitors (tourists);;Thousands;..;..;185;243;304;283;259;337;348;415;413;402;321;421;423;235;69;144;346
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
LAO PEOPLE´S DEMOCRATIC REPUBLIC;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;895;1 095;1 215;1 624;1 737;2 008;2 513;2 724;3 330;3 779;4 159;4 684;4 239;3 869;4 186;4 791;886;..;..
;;;Overnights visitors (tourists);;Thousands;407;672;842;1 142;1 295;1 239;1 670;1 894;2 291;2 700;3 164;3 543;3 315;3 257;3 770;4 384;812;..;..
;;;Same-day visitors (excursionists);;Thousands;488;423;373;482;442;769;843;830;1 039;1 079;995;1 141;924;612;417;407;75;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
LATVIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;3 127;3 791;4 649;5 209;5 496;4 727;5 042;5 538;5 569;5 822;6 246;6 842;6 797;7 726;7 775;8 342;3 204;1 937;..
;;;Overnights visitors (tourists);;Thousands;1 079;1 116;1 535;1 653;1 684;1 323;1 373;1 493;1 435;1 536;1 843;2 024;1 793;1 949;1 946;1 935;636;478;..
;;;Same-day visitors (excursionists);;Thousands;1 954;2 658;3 109;3 583;3 812;3 404;3 669;4 045;4 134;4 286;4 403;4 818;5 004;5 777;5 829;6 408;2 568;1 459;..
;;;;of which, cruise passengers;Thousands;69;92;89;120;177;181;219;268;..;..;..;254;279;505;800;..;..;..;..
LEBANON;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;1 278;1 140;1 063;1 017;1 333;1 844;2 168;1 655;1 366;1 274;1 355;1 518;1 688;1 857;1 964;1 936;414;890;1 466
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
LESOTHO;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;304;304;357;300;293;344;426;398;423;433;1 079;1 082;1 196;1 137;1 173;1 142;..;279;..
;;;Overnights visitors (tourists);;Thousands;..;..;347;292;285;320;414;397;317;320;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;10;8;8;24;11;0,5;106;113;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
LIBERIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
LIBYA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;125;106;760;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;43;81;42;38;34;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;84;68;8;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;84;68;8;..;..;..;..;..;..;..;..;..;..;..;..;..;..
LIECHTENSTEIN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;48,5;49,8;54,9;72,8;72,9;66,5;64,3;67,0;62,4;59,6;61,3;56,7;69,1;79,3;85,3;98,1;58,4;70,8;100,8
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
LITHUANIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;4 251;4 459;4 001;4 073;4 504;4 979;5 264;5 217;5 048;5 322;5 590;6 115;6 150;2 284;2 096;4 725
;;;Overnights visitors (tourists);;Thousands;1 800;2 000;2 180;1 486;1 611;1 341;1 507;1 775;1 900;2 012;2 063;2 071;2 296;2 523;2 825;2 875;937;948;2 169
;;;Same-day visitors (excursionists);;Thousands;..;..;..;2 765;2 848;2 660;2 566;2 729;3 079;3 252;3 155;2 977;3 026;3 067;3 290;3 275;1 348;1 148;2 556
;;;;of which, cruise passengers;Thousands;14;24;25;37;32;34;35;22;27;33;58;60;64;75;..;..;..;..;..
LUXEMBOURG;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;878;913;908;914;877;847;805;874;950;945;1 038;1 090;1 054;1 046;1 018;1 041;525;615;1 013
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
MACAO, CHINA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;16 673;18 711;21 998;27 003;22 933;21 753;24 965;28 002;28 082;29 325;31 526;30 715;30 950;32 611;35 804;39 406;5 897;7 706;5 700
;;;Overnights visitors (tourists);;Thousands;8 324;9 014;10 683;12 945;10 610;10 402;11 926;12 925;13 577;14 268;14 566;14 308;15 704;17 255;18 493;18 633;2 822;3 697;2 484
;;;Same-day visitors (excursionists);;Thousands;8 349;9 697;11 315;14 058;12 323;11 351;13 040;15 077;14 505;15 056;16 960;16 407;15 247;15 356;17 311;20 773;3 075;4 009;3 216
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
MADAGASCAR;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;282;333;285;360;486;87;8;..
;;;Overnights visitors (tourists);;Thousands;229;277;312;344;375;163;196;225;256;196;222;244;293;255;291;384;68;8;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;38;40;30;69;102;19;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;38;40;30;69;102;19;..;..
MALAWI;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;427;438;638;735;742;755;746;767;770;795;819;805;849;837;871;978;199;432;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
MALAYSIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;24 432;24 209;25 298;28 325;25 321;31 509;..;..;..;..;..;..;..;..;..;35 046;6 102;399;19 016
;;;Overnights visitors (tourists);;Thousands;15 703;16 431;17 547;20 973;22 052;23 646;24 577;24 714;25 033;25 715;27 437;25 721;26 757;25 948;25 832;26 101;4 333;135;10 071
;;;Same-day visitors (excursionists);;Thousands;8 729;7 778;7 751;7 352;3 269;7 863;..;..;..;..;..;..;..;..;..;8 945;1 769;265;8 945
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
MALDIVES;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;617;395;602;676;683;656;792;931;958;1 125;1 205;1 234;1 286;1 390;1 484;1 703;555;1 322;1 675
;;;Same-day visitors (excursionists);;Thousands;4;4;3;6;2;3;0,5;0,2;9;2;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;4;4;3;6;2;3;0,5;0,2;9;2;..;..;..;..;..;..;..;..;..
MALI;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;113;143;153;164;190;160;169;160;134;142;168;159;173;193;203;217;75;168;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
MALTA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 428;1 484;1 521;1 723;1 832;1 608;1 815;1 916;2 007;2 013;2 162;2 383;2 592;2 944;3 232;3 519;718;1 110;2 776
;;;Overnights visitors (tourists);;Thousands;1 156;1 171;1 124;1 244;1 291;1 182;1 339;1 415;1 443;1 582;1 690;1 783;1 966;2 274;2 599;2 753;659;968;2 287
;;;Same-day visitors (excursionists);;Thousands;272;314;397;479;542;426;476;501;563;431;472;600;626;670;633;766;59;142;490
;;;;of which, cruise passengers;Thousands;272;314;397;479;542;426;476;501;563;431;472;600;626;670;633;766;59;142;490
MARSHALL ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;6,5;7,9;..;..;2,0;..;..
;;;Overnights visitors (tourists);;Thousands;9,0;9,2;5,8;7,2;6,0;5,4;4,6;4,6;4,6;..;4,9;6,3;5,4;6,0;6,8;6,1;1,2;0,04;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;1,1;1,9;..;..;0,8;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;1,1;1,9;..;..;..;..;..
MARTINIQUE;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;630;577;599;573;568;511;553;538;603;622;696;762;842;1 003;1 002;919;524;312;661
;;;Overnights visitors (tourists);;Thousands;471;484;503;501;481;442;478;497;488;490;490;487;519;536;537;556;312;291;556
;;;Same-day visitors (excursionists);;Thousands;159;93;96;72;87;70;75;41;115;133;206;274;323;467;465;363;211;21;105
;;;;of which, cruise passengers;Thousands;159;93;96;72;87;70;75;41;92;104;178;242;281;406;393;285;170;..;75
MAURITANIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
MAURITIUS;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;739;782;807;933;970;890;956;983;984;1 015;1 065;1 174;1 307;1 371;1 431;1 418;316;180;1 003
;;;Overnights visitors (tourists);;Thousands;719;761;788;907;930;871;935;965;965;993;1 038;1 151;1 275;1 342;1 399;1 383;309;180;997
;;;Same-day visitors (excursionists);;Thousands;20;21;18;26;40;19;22;18;19;22;27;23;32;30;32;35;7;1;6
;;;;of which, cruise passengers;Thousands;9;9;8;9;13;14;9;6;6;9;13;7;11;7;9;13;1;..;2
MEXICO;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;99 250;103 146;97 701;93 582;92 948;88 044;81 953;75 732;76 749;78 100;81 042;87 129;94 853;99 349;96 497;97 406;51 128;55 301;65 995
;;;Overnights visitors (tourists);;Thousands;20 618;21 915;21 353;21 606;22 931;22 346;23 290;23 403;23 403;24 151;29 346;32 093;35 079;39 291;41 313;45 024;24 824;31 860;38 326
;;;Same-day visitors (excursionists);;Thousands;78 632;81 231;76 348;71 976;70 017;65 698;58 664;52 329;53 346;53 950;51 696;55 035;59 774;60 058;55 184;52 382;26 845;23 441;27 669
;;;;of which, cruise passengers;Thousands;6 493;6 707;6 516;6 943;6 491;5 701;6 048;5 289;5 199;4 555;5 785;6 115;6 695;7 681;8 271;9 095;2 580;1 754;7 075
MICRONESIA, FEDERATED STATES OF;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;19;19;19;21;26;48;45;35;38;42;35;31;30;..;19;18;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
MOLDOVA, REPUBLIC OF;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;69;67;63;70;73;60;64;75;89;96;94;94;121;145;160;174;29;69;162
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
