countrie;del;total_arrivals;del1;del2;Units;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
;;;Same-day visitors (excursionists);;Thousands;1 098;800;656;629;601;709;812;856;751;728;968;958;1 005;1 014;1 208;1 171;343;218;..
;;;;of which, cruise passengers;Thousands;851;800;656;624;597;705;779;735;641;677;968;958;1 005;1 014;1 208;1 171;343;210;615
BENIN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;845;960;975;1 010;1 027;..;..;222;232;252;265;279;292;307;322;337;354;..;..
;;;Overnights visitors (tourists);;Thousands;174;176;180;186;188;190;199;209;220;231;242;255;267;281;295;309;325;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;11;12;21;23;24;25;26;27;28;29;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;1;2;6;7;8;9;11;12;13;14;..;..
BERMUDA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;478;517;635;660;550;554;580;652;610;576;580;597;642;688;766;805;51;86;549
;;;Overnights visitors (tourists);;Thousands;272;270;299;306;264;236;232;236;232;236;224;220;244;270;282;269;42;72;146
;;;Same-day visitors (excursionists);;Thousands;206;247;336;354;286;318;348;416;378;340;356;377;398;418;484;536;9;14;403
;;;;of which, cruise passengers;Thousands;206;247;336;354;286;318;348;416;378;340;356;377;398;418;484;536;9;14;403
BHUTAN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;9;14;17;21;28;23;41;66;105;116;133;155;210;255;274;316;30;0,001;20,900
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
BOLIVIA, PLURINATIONAL STATE OF;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;480;524;521;573;530;599;679;711;798;798;871;882;961;1 109;1 142;1 239;323;180;724
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
BONAIRE;;;;;;;;;;;;;;;;;;;;;;;;
